TRIBURG / / /,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
SIZE SET INSPECTION REPORT,,,,,,,,,,,,,,,,,,,
STYLE NO:,9662,,,,DIVISION:,,,,,,DATE :,,,,,,,,
,,,,,,,,,,,,,,,,,,,
DESCRIPTION:,,,,,,,,,,,COLOUR:,,,,,,,,
,,,,,,,,,,,,,,,,,,,
ACCESSORIES,MIS,ALT,ACT,PLA,ACCESSORIES,MIS,ALT,ACT,PLA,ACCESSORIES,MIS,ALT,ACT,PLA,,MIS,ALT,ACT,PLA
MAIN LABEL,,,X,,POLYBAG,,,,,BUTTON,,,,,PRINT,,,,
BOOK FOLD,,,,,POLY BAG STICKER,,,,,HOOK EYE/BAR,,,X,,LAYOUT,,,,
FCTY CODE,,,,,LOT STICKER,,,,,LACE,,,X,,EMB  THREAD COLOR,,,,
HANG TAG,,,,,PRE PACK STICKER,,,,,BUCKLE,,,,,PLACEMENT,,,,
HANGER,,,,,CARTON MARKINGS,,,,,SNAP,,,,,BEADS/SEQUINS,,,,
WASHCARE,,,X,,PLACEMENT UPC/P.PACK,,,,,THREAD,,,X,,BEADS/SEQUINS LAYOUT,,,,
INTERLINING,,,,,FOLDING,,,,,LINING,,,X,,AFTER TREATMENT,,,,
,,,,,SPARE BUTTON POSITION,,,,,ZIPPER,,X,,,PH,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
PATTERN CHECK LIST,,,,,,,,,,,MEASUREMENT (SPEC ATTACHED),,,,,,,,
GRAIN LINE,,,,:,OK,,,,,,RESULT             :  (         ) PASS     (      ) FAIL CONDITIONALLY  ->  PASS,,,,,,,,
NOTCHES,,,,:,OK,,,,,,GRADED NEST :   (      ) OK           (      ) NOT OK  ->  OK,,,,,,,,
GRADED NEST,,,,:,OK,,,,,,CORRECTIONS TO BE DONE :-,,,,,,,,
CORRECTIONS  IMPLEMNTED,,,,:,OK,,,,,,Improve zipper workmanship to avoid gaping and puckering,,,,,,,,
YY/ MINI MARKER,,,,:,Seersucker 0.98 m; width 0.12 m; lining 0.83 m,,,,,,correct roping at hem,,,,,,,,
,,,,,,,,,,,use only approved bulk lot,,,,,,,,
PLANNED SIZE SET SUBMISSION DATE:,,,,,8 July,,,,,,obtain NY closure for streak mark,,,,,,,,
ACTUAL SUBMISSION DATE,,,,:,9 July,,,,,,use air pipe for belt operation,,,,,,,,
PCD,,,,:,,,,,,,loosen machine tension at side seam and princess seam,,,,,,,,
CUT QUANTITY,,,,:,66,,,,,,distribute zipper and body evenly by marking,,,,,,,,
SIZE SET INSPECTION RESULT,,,,:,Pass with comment,,,,,,CUTTING CHECK                                 :      (      ) OK         (     ) NOT OK  ->  Not OK,,,,,,,,
,,,,,,,,,,,SEAM ALLOWANCE                           :     (       ) OK         (     ) NOT OK,,,,,,,,
,,,,,,,,,,,CORRECTIONS IMPLEMENTED :     (     ) OK         (      ) NOT OK  ->  OK,,,,,,,,
SHRINKAGE,,,,:,L = 0%  W = 0%,,,,,,,,,,,,,,
DETAILED COMMENTS,,,,,,,,,,,,,,ACTION TO BE TAKEN BY VENDOR,,,,,
,,,,,,,,,,,,,,,,,,,
"(1) Reduce back armhole at underarm by 1/8, blending to zero at empire",,,,,,,,,,,,,,Implemented,,,,,
(2) Reduce chest by 1/2 and front chest by 1/8,,,,,,,,,,,,,,Implemented,,,,,
(3) Reduce bottom sweep by 2 inches,,,,,,,,,,,,,,Implemented,,,,,
(4) Zipper gaping more than wearer's side,,,,,,,,,,,,,,Improve zipper workmanship and secure with stitching,,,,,
(5) Roping at hem,,,,,,,,,,,,,,Correct feeding of top and bottom layers at bias area,,,,,
(6) Lot matching with FOB,,,,,,,,,,,,,,Use only approved lot for bulk,,,,,
(7) Pilling abrasion inside seam,,,,,,,,,,,,,,Obtain closure from NY through mail and physical sample,,,,,
(8) Streak mark fabric defect,,,,,,,,,,,,,,Await NY closure,,,,,
(9) Fraying yarn at belt,,,,,,,,,,,,,,Use air pipe for belt operation,,,,,
(10) Tight stitch at side seam/princess seam,,,,,,,,,,,,,,Loosen machine tension,,,,,
(11) Puckering at zipper,,,,,,,,,,,,,,Mark and distribute zipper and body evenly; loosen machine tension,,,,,
(12) Bulk cutting on hold,,,,,,,,,,,,,,Do not cut bulk until streak mark closure is approved by NY,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
I AGREE WITH THE ABOVE COMMENTS AND WILL INCORPORATE ALL ABOVE COMMENTS                                                                                                                                                                                                                                                            VENDOR'S SIGNATURE,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
VENDOR'S SIGNATURE,,,,,SENT VIA MAIL,,,,,,,,,,,,,,
