TRIBURG / / /,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
SIZE SET INSPECTION REPORT,,,,,,,,,,,,,,,,,,,
STYLE NO:,2365,,,,DIVISION:,,,,,,DATE :,,,,,,,,
,,,,,,,,,,,,,,,,,,,
DESCRIPTION:,oversized flannel shirt piping,,,,,,,,,,COLOUR:,,,,,,,,
,,,,,,,,,,,,,,,,,,,
ACCESSORIES,MIS,ALT,ACT,PLA,ACCESSORIES,MIS,ALT,ACT,PLA,ACCESSORIES,MIS,ALT,ACT,PLA,,MIS,ALT,ACT,PLA
MAIN LABEL,,,X,,POLYBAG,,,X,,BUTTON,,,X,,PRINT,,,,
BOOK FOLD,,,,,POLY BAG STICKER,,,,,HOOK EYE/BAR,,,,,LAYOUT,,,,
FCTY CODE,,,,,LOT STICKER,,,,,LACE,,,,,EMB  THREAD COLOR,,,,
HANG TAG,,,,,PRE PACK STICKER,,,,,BUCKLE,,,,,PLACEMENT,,,,
HANGER,,,,,CARTON MARKINGS,,,,,SNAP,,,,,BEADS/SEQUINS,,,,
WASHCARE,,,X,,PLACEMENT UPC/P.PACK,,,,,THREAD,,,X,,BEADS/SEQUINS LAYOUT,,,,
INTERLINING,,,,,FOLDING,,,X,,LINING,,,,,AFTER TREATMENT,,,,
,,,,,SPARE BUTTON POSITION,,,,,ZIPPER,,,,,PH,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
PATTERN CHECK LIST,,,,,,,,,,,MEASUREMENT (SPEC ATTACHED),,,,,,,,
GRAIN LINE,,,,:,OK,,,,,,RESULT             :  (         ) PASS     (      ) FAIL CONDITIONALLY  ->  PASS,,,,,,,,
NOTCHES,,,,:,OK,,,,,,GRADED NEST :   (      ) OK           (      ) NOT OK  ->  OK,,,,,,,,
GRADED NEST,,,,:,OK,,,,,,CORRECTIONS TO BE DONE :-,,,,,,,,
CORRECTIONS  IMPLEMNTED,,,,:,Yes,,,,,,Follow approved PP sample overlock construction,,,,,,,,
YY/ MINI MARKER,,,,:,Yes,,,,,,correct pocket shape,,,,,,,,
,,,,,,,,,,,loosen pocket cord,,,,,,,,
PLANNED SIZE SET SUBMISSION DATE:,,,,,12; 8/20 (unclear),,,,,,correct collar point shape,,,,,,,,
ACTUAL SUBMISSION DATE,,,,:,24,,,,,,correct tie-space shape at overlapping area,,,,,,,,
PCD,,,,:,25,,,,,,correct locker loop measurement,,,,,,,,
CUT QUANTITY,,,,:,7 pieces,,,,,,remove space stitches correct wavy body stripe correct uneven topstitch and placket bumping improve hand feel correct plaid alignment,,,,,,,,
SIZE SET INSPECTION RESULT,,,,:,Pass with comment,,,,,,CUTTING CHECK                                 :      (      ) OK         (     ) NOT OK  ->  OK,,,,,,,,
,,,,,,,,,,,SEAM ALLOWANCE                           :     (       ) OK         (     ) NOT OK  ->  OK,,,,,,,,
,,,,,,,,,,,CORRECTIONS IMPLEMENTED :     (     ) OK         (      ) NOT OK  ->  OK,,,,,,,,
SHRINKAGE,,,,:,L = 1 1/2%  W = +3%,,,,,,,,,,,,,,
DETAILED COMMENTS,,,,,,,,,,,,,,ACTION TO BE TAKEN BY VENDOR,,,,,
,,,,,,,,,,,,,,,,,,,
(1) Approved PP sample has 6th-grade overlock; updated tech pack has 5th-grade overlock,,,,,,,,,,,,,,Follow approved PP sample; upgrade side seam and armhole overlock,,,,,
(2) Pocket shape found poor,,,,,,,,,,,,,,Correct pocket shape to spec,,,,,
(3) Cord found tight at pocket,,,,,,,,,,,,,,Loosen pocket cord,,,,,
(4) Poor collar point shape,,,,,,,,,,,,,,Correct collar point shape,,,,,
(5) Poor tie-space shape at overlapping area,,,,,,,,,,,,,,Correct overlapping-area shape,,,,,
(6) Locker loop measurement found minus,,,,,,,,,,,,,,Bring locker loop back to spec,,,,,
"(7) Space stitch visible at cuff, placket slit and collar",,,,,,,,,,,,,,Remove visible space stitches,,,,,
(8) Body stripe found wavy while pocket attached,,,,,,,,,,,,,,Correct stripe and pocket attachment,,,,,
(9) Topstitch found uneven and placket bumping/wavy,,,,,,,,,,,,,,Correct topstitch and placket appearance,,,,,
(10) Hand feel observed slightly harsh,,,,,,,,,,,,,,Improve hand feel,,,,,
"(11) Plaid uneven at right back yoke, placket and collar",,,,,,,,,,,,,,Correct plaid alignment,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
I AGREE WITH THE ABOVE COMMENTS AND WILL INCORPORATE ALL ABOVE COMMENTS                                                                                                                                                                                                                                                            VENDOR'S SIGNATURE,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
VENDOR'S SIGNATURE,,,,,SENT VIA MAIL,,,,,,,,,,,,,,
