no,size,pom,description,spoken_as,heard,spec,measured,deviation,tol_minus,tol_plus,verdict,confidence,note
1,S,4.05A,WAISTBAND HEIGHT,Waistband height,1 1/4,1 1/4,1 1/4,ok,-1/8,+1/8,pass,1.00,
2,S,4.05A,WAISTBAND ELASTIC HEIGHT,Waistband elastic height,1 3/8,1 3/8,1 3/8,ok,-1/8,+1/8,pass,1.00,
3,S,4.04A,WAIST RELAXED @ TOP EDGE,Waist relaxed at top edge,28 3/4,28 3/4,28 1/4,-1/2,-3/4,+3/4,pass,1.00,
4,S,4.02A,WAIST EXTENDED @ TOP EDGE MINIMUM,Waist extended at top edge minimum,41,41,41,ok,-3/4,+3/4,pass,1.00,
5,S,4.09B,LOW HIP PLACEMENT FROM TOP WAIST,Low hip placement from top waist,5 5/8,5 5/8,5 5/8,ok,0,0,unjudged,1.00,
6,S,4.10B,3 POINT LOW HIP,Three point low hip,42 1/2,42 1/2,42 1/2,ok,-3/4,+3/4,pass,1.00,
7,S,4.14A,FRONT RISE STRAIGHT TO TOP WAIST,Front rise straight to top waist,10 1/4,10 1/4,10,-1/4,-1/4,+1/4,pass,0.95,
8,S,4.15A,BACK RISE STRAIGHT TO TOP WAIST,Back rise straight to top waist,15 1/2,15 1/2,15 1/4,-1/4,-1/4,+1/4,pass,1.00,
9,S,5.08C,SHORT LEG OPENING,Short leg opening,28 1/2,28 1/2,28 1/2,ok,-3/8,+3/8,pass,1.00,
10,S,5.01A,INSEAM SHORT,Inseam short,2 1/2,2 1/2,2 3/8,-1/8,-1/4,+1/4,pass,1.00,
11,S,5.02A,OUTSEAM FROM TOP WAIST,Outseam from top waist,11,11,11 1/4,+1/4,-1/4,+1/4,pass,1.00,
12,S,7.01A GR,FLY/J-STITCH LENGTH BELOW WAIST SEAM,Fly J-stitch length below waist seam,4 3/4,4 3/4,4 3/4,ok,-1/4,+1/4,pass,1.00,
13,S,7.01B,FLY /J-STITCH WIDTH,Fly J-stitch width,1 1/8,1 1/8,1 1/8,ok,-1/8,+1/8,pass,1.00,
14,S,4.27A,HEM HEIGHT,M height,1/2,1/2,1/2,ok,-1/8,+1/8,pass,1.00,
15,S,*,"FRT LEG DEPTH 3"" FRM CF (TOP EDGE) RELAXED",Front leg depth three inch from center front top edge relaxed,11 1/4,11 1/4,11,-1/4,-1/8,+1/8,FAIL,1.00,
16,S,*,"BK LEG DEPTH 3"" FRM CB (TOP EDGE) RELAXED",Back leg depth three inch from center back top edge relaxed,12 1/2,12 1/2,12 5/8,+1/8,-1/8,+1/8,pass,1.00,
17,S,*,"SADDLE WIDTH 2"" UP FRM CROTCH - REF PT FOR NY TECH",Saddle width two inch up from crotch,8 1/4,8 1/4,8,-1/4,-1/8,+1/8,FAIL,1.00,
18,S,*,BUTTON SPACE ON FLY FRONT,Button space on fly front,2,2,2,ok,-1/8,+1/8,pass,1.00,
19,S,7.04B,BUTTON POSITION FROM WAIST STITCH,Button position from waist stitch,1 1/4,1 1/4,1 1/4,ok,-1/8,+1/8,pass,1.00,
20,S,6.05B,ON SEAM POCKET HEM HEIGHT,On seam pocket hem height,1/4,1/4,1/4,ok,-1/8,+1/8,pass,1.00,
