no,section,size,field,value,deviation,note,confidence,needs_review
1,marker,,YY shell,1.45 meter,,,1.00,
2,marker,,Locker loop,0.003 meter,,,1.00,
3,marker,,Pocket trim,0.01 meter,,,1.00,
4,shrinkage,,Pattern shrinkage length,1.5%,,all four colors,1.00,
5,shrinkage,,Pattern shrinkage width,+3%,,all four colors,1.00,
6,construction,,Side seam and armhole overlock,Approved PP sample 6-thread; updated tech pack 5-thread,,construction mismatch,0.95,
7,measurement,,Front length from HPS,26,+1/8,,1.00,
8,measurement,,Back length from HPS,26 1/4,+1/8,,1.00,
9,measurement,,Shoulder slope from HPS,1 7/8,+1/8,,1.00,
10,measurement,,Shoulder seam forward at neck,1/2,,,1.00,
11,measurement,,Shoulder seam forward at armhole,3/4,,,1.00,
12,measurement,,Across shoulder seam to seam,17 3/4,+1/4,,1.00,
13,measurement,,Across front position from HPS,5,,,0.95,
14,measurement,,Across front seam to seam,16 1/4,+1/4,,1.00,
15,measurement,,Across back at yoke seam,17,+1/4,,1.00,
16,measurement,,"Chest 1 inch below armhole, pleat extended",45,+1/2,,1.00,
17,measurement,,Bottom opening straight above side seam,45,,Deviation spoken as plus/minus 1/8,0.55,yes
18,measurement,,Front side seam height,4 3/4,+1/8,,1.00,
19,measurement,,Back side seam height,4,+1/8,,1.00,
20,measurement,,"Bottom hem height, self turn",1/4,,,1.00,
21,measurement,,Sleeve length from center back long,32 1/2,-1/4,,1.00,
22,measurement,,Sleeve cap height,5 3/4,+1/4,,1.00,
23,measurement,,Armhole straight,8 7/8,,,1.00,
24,measurement,,Muscle 1 inch from underarm,15 1/4,,,1.00,
25,measurement,,Elbow position from cuff,10,,,0.90,
26,measurement,,Elbow,13 1/4,,,0.85,
27,measurement,,Sleeve opening L oblique S at H,8 1/2,,,0.80,yes
28,measurement,,Sleeve cuff height,2 1/2,,,1.00,
29,measurement,,Sleeve placket opening length,4 1/2,-1/8,,1.00,
30,measurement,,Sleeve placket width,3/4,,Spoken as 'three placket width',0.85,
31,measurement,,Front neck drop from HPS,3,+1,,0.90,
32,measurement,,Back neck drop from HPS to C,3/4,,Later wording was unclear,0.75,yes
33,measurement,,Back neck width seam to seam,5 3/4,+1/8,"Initially stated minus 1/8, then repeated as plus 1/8; last stated deviation used",0.65,yes
34,measurement,,Neck band height at center,1 1/8,,,0.95,
35,measurement,,Collar point,2 1/4,-1/8,Word order was unclear,0.75,yes
36,measurement,,Collar length at outer edge,15 3/4,-1/4,,1.00,
37,measurement,,Locker loop width,3/8,-1/8,,1.00,
38,measurement,,Locker loop grade,2,,,0.90,
39,measurement,,Collar height at center back,2,,,1.00,
40,measurement,,Center front placket,1,,,0.95,
41,measurement,,Button position from neck to first button,3,,Deviation not stated,0.95,
42,measurement,,Button position from bottom edge,1/4,,,1.00,
43,measurement,,Center back yoke box pleat width,1 1/2,,Deviation not stated,0.95,
44,measurement,,Chest pocket length at center,5 1/4,,Deviation not stated,0.95,
45,measurement,,Pocket position,8 3/4,,Reference point was unclear,0.70,yes
46,measurement,,Pocket position from center front,1 1/8,,Deviation not stated,0.90,
47,comment,,Pocket shape,poor,,Correct to spec,1.00,
48,comment,,Cord at pocket,tight,,Loosen cord,1.00,
49,comment,,Collar point shape,poor,,Correct shape,1.00,
50,comment,,Tie-space shape,poor and overlapping,,Correct shape and overlap,0.85,
51,comment,,Locker loop measurement,minus,,Bring back to spec,1.00,
52,comment,,Skip stitch,visible,,"Cuff, placket slit and collar",1.00,
53,comment,,Body stripe,wavy,,Observed while pocket attached,1.00,
54,comment,,Topstitch and placket,uneven and wavy,,Placket bumping,1.00,
55,comment,,Hand feel,slightly harsh,,Improve hand feel,1.00,
56,comment,,"Alignment at back yoke, placket and collar",uneven,,Spoken as placket found uneven,0.75,yes
