TRIBURG / / /,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
SIZE SET INSPECTION REPORT,,,,,,,,,,,,,,,,,,,
STYLE NO:,2365,,,,DIVISION:,,,,,,DATE :,,,,,,,,
,,,,,,,,,,,,,,,,,,,
DESCRIPTION:,oversized flannel shirt piping,,,,,,,,,,COLOUR:,,,,,,,,
,,,,,,,,,,,,,,,,,,,
ACCESSORIES,MIS,ALT,ACT,PLA,ACCESSORIES,MIS,ALT,ACT,PLA,ACCESSORIES,MIS,ALT,ACT,PLA,,MIS,ALT,ACT,PLA
MAIN LABEL,,,X,,POLYBAG,,,X,,BUTTON,,,X,,PRINT,,,,
BOOK FOLD,,,,,POLY BAG STICKER,,,,,HOOK EYE/BAR,,,,,LAYOUT,,,,
FCTY CODE,,,,,LOT STICKER,,,,,LACE,,,,,EMB  THREAD COLOR,,,,
HANG TAG,,,,,PRE PACK STICKER,,,,,BUCKLE,,,,,PLACEMENT,,,,
HANGER,,,,,CARTON MARKINGS,,,,,SNAP,,,,,BEADS/SEQUINS,,,,
WASHCARE,,,X,,PLACEMENT UPC/P.PACK,,,,,THREAD,,,X,,BEADS/SEQUINS LAYOUT,,,,
INTERLINING,,,,,FOLDING,,,X,,LINING,,,,,AFTER TREATMENT,,,,
,,,,,SPARE BUTTON POSITION,,,,,ZIPPER,,,,,PH,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
PATTERN CHECK LIST,,,,,,,,,,,MEASUREMENT (SPEC ATTACHED),,,,,,,,
GRAIN LINE,,,,:,OK,,,,,,RESULT             :  (         ) PASS     (      ) FAIL CONDITIONALLY  ->  PASS,,,,,,,,
NOTCHES,,,,:,OK,,,,,,GRADED NEST :   (      ) OK           (      ) NOT OK  ->  OK,,,,,,,,
GRADED NEST,,,,:,OK,,,,,,CORRECTIONS TO BE DONE :-,,,,,,,,
CORRECTIONS  IMPLEMNTED,,,,:,Yes,,,,,,Bring all out-of-tolerance measurements back to spec,,,,,,,,
YY/ MINI MARKER,,,,:,Yes,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
PLANNED SIZE SET SUBMISSION DATE:,,,,,12/8/20,,,,,,,,,,,,,,
ACTUAL SUBMISSION DATE,,,,:,24,,,,,,,,,,,,,,
PCD,,,,:,25,,,,,,,,,,,,,,
CUT QUANTITY,,,,:,7 piece,,,,,,,,,,,,,,
SIZE SET INSPECTION RESULT,,,,:,Pass with comment,,,,,,CUTTING CHECK                                 :      (      ) OK         (     ) NOT OK  ->  OK,,,,,,,,
,,,,,,,,,,,SEAM ALLOWANCE                           :     (       ) OK         (     ) NOT OK  ->  OK,,,,,,,,
,,,,,,,,,,,CORRECTIONS IMPLEMENTED :     (     ) OK         (      ) NOT OK  ->  OK,,,,,,,,
SHRINKAGE,,,,:,L = 1.5%  W = +3%,,,,,,,,,,,,,,
DETAILED COMMENTS,,,,,,,,,,,,,,ACTION TO BE TAKEN BY VENDOR,,,,,
,,,,,,,,,,,,,,,,,,,
"(1) Approved PP sample has 6th grade overlock at side seam and armhole, while updated tech pack has 5th grade overlock",,,,,,,,,,,,,,Follow approved construction and align the tech pack,,,,,
(2) Pocket shape found poor,,,,,,,,,,,,,,Correct pocket shape,,,,,
(3) Cord found tight at pocket,,,,,,,,,,,,,,Correct cord tension at pocket,,,,,
(4) Poor collar point shape,,,,,,,,,,,,,,Improve collar point shape,,,,,
(5) Poor tie space shape at overlapping area,,,,,,,,,,,,,,Correct shape at overlapping area,,,,,
(6) Locker loop measurement found minus,,,,,,,,,,,,,,Bring locker loop measurement back to spec,,,,,
"(7) Space stitch visible at cuff, placket slit and collar",,,,,,,,,,,,,,Correct visible spacing stitches,,,,,
(8) Body stripe found wavy while pocket attached,,,,,,,,,,,,,,Keep body stripe straight during pocket attachment,,,,,
(9) Top stitch found uneven and placket bumping/wavy,,,,,,,,,,,,,,Correct topstitch and placket appearance,,,,,
(10) Hand feel observed slightly harsh,,,,,,,,,,,,,,Improve hand feel,,,,,
"(11) Plaid found uneven at right back yoke, placket and collar",,,,,,,,,,,,,,Correct plaid matching,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
I AGREE WITH THE ABOVE COMMENTS AND WILL INCORPORATE ALL ABOVE COMMENTS                                                                                                                                                                                                                                                            VENDOR'S SIGNATURE,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
VENDOR'S SIGNATURE,,,,,SENT VIA MAIL,,,,,,,,,,,,,,
