TRIBURG / / /,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
SIZE SET INSPECTION REPORT,,,,,,,,,,,,,,,,,,,
STYLE NO:,2365,,,,DIVISION:,,,,,,DATE :,,,,,,,,
,,,,,,,,,,,,,,,,,,,
DESCRIPTION:,oversized flannel shirt piping,,,,,,,,,,COLOUR:,,,,,,,,
,,,,,,,,,,,,,,,,,,,
ACCESSORIES,MIS,ALT,ACT,PLA,ACCESSORIES,MIS,ALT,ACT,PLA,ACCESSORIES,MIS,ALT,ACT,PLA,,MIS,ALT,ACT,PLA
MAIN LABEL,,,X,,POLYBAG,,,X,,BUTTON,,,X,,PRINT,,,,
BOOK FOLD,,,,,POLY BAG STICKER,,,,,HOOK EYE/BAR,,,,,LAYOUT,,,,
FCTY CODE,,,,,LOT STICKER,,,,,LACE,,,,,EMB  THREAD COLOR,,,,
HANG TAG,,,,,PRE PACK STICKER,,,,,BUCKLE,,,,,PLACEMENT,,,,
HANGER,,,,,CARTON MARKINGS,,,,,SNAP,,,,,BEADS/SEQUINS,,,,
WASHCARE,,,X,,PLACEMENT UPC/P.PACK,,,,,THREAD,,,X,,BEADS/SEQUINS LAYOUT,,,,
INTERLINING,,,,,FOLDING,,,X,,LINING,,,,,AFTER TREATMENT,,,,
,,,,,SPARE BUTTON POSITION,,,,,ZIPPER,,,,,PH,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
PATTERN CHECK LIST,,,,,,,,,,,MEASUREMENT (SPEC ATTACHED),,,,,,,,
GRAIN LINE,,,,:,OK,,,,,,RESULT             :  (         ) PASS     (      ) FAIL CONDITIONALLY  ->  PASS,,,,,,,,
NOTCHES,,,,:,OK,,,,,,GRADED NEST :   (      ) OK           (      ) NOT OK  ->  OK,,,,,,,,
GRADED NEST,,,,:,OK,,,,,,CORRECTIONS TO BE DONE :-,,,,,,,,
CORRECTIONS  IMPLEMNTED,,,,:,Yes,,,,,,Upgrade side seam and armhole to 5-thread overlock as updated tech pack,,,,,,,,
YY/ MINI MARKER,,,,:,Yes,,,,,,correct pocket shape,,,,,,,,
,,,,,,,,,,,loosen cord at pocket,,,,,,,,
PLANNED SIZE SET SUBMISSION DATE:,,,,,12/8/22,,,,,,correct collar point shape,,,,,,,,
ACTUAL SUBMISSION DATE,,,,:,8/24,,,,,,correct overlapping hem shape,,,,,,,,
PCD,,,,:,8/25,,,,,,correct locker loop measurement,,,,,,,,
CUT QUANTITY,,,,:,7 pcs,,,,,,remove skipped stitches correct wavy stripes and uneven topstitching improve hand feel correct uneven plaid,,,,,,,,
SIZE SET INSPECTION RESULT,,,,:,Pass with comment,,,,,,CUTTING CHECK                                 :      (      ) OK         (     ) NOT OK  ->  OK,,,,,,,,
,,,,,,,,,,,SEAM ALLOWANCE                           :     (       ) OK         (     ) NOT OK  ->  OK,,,,,,,,
,,,,,,,,,,,CORRECTIONS IMPLEMENTED :     (     ) OK         (      ) NOT OK  ->  OK,,,,,,,,
SHRINKAGE,,,,:,L = 1.5%  W = +3%,,,,,,,,,,,,,,
DETAILED COMMENTS,,,,,,,,,,,,,,ACTION TO BE TAKEN BY VENDOR,,,,,
,,,,,,,,,,,,,,,,,,,
(1) Approved PP sample has lower-grade overlock at side seam and armhole,,,,,,,,,,,,,,Upgrade to 5-thread overlock as updated tech pack,,,,,
(2) Pocket shape found poor,,,,,,,,,,,,,,Correct pocket shape,,,,,
(3) Cord found tight at pocket,,,,,,,,,,,,,,Loosen cord at pocket,,,,,
(4) Poor collar point shape,,,,,,,,,,,,,,Correct collar point shape,,,,,
(5) Poor shape at overlapping hem,,,,,,,,,,,,,,Correct overlapping hem shape,,,,,
(6) Locker loop measurement found minus,,,,,,,,,,,,,,Bring locker loop back to spec,,,,,
"(7) Skipped stitches visible at cuff, placket slit and collar",,,,,,,,,,,,,,Remove skipped stitches,,,,,
(8) Body stripe found wavy while attaching pocket,,,,,,,,,,,,,,Keep body stripe straight at pocket,,,,,
(9) Topstitch uneven and placket bumping/wavy,,,,,,,,,,,,,,Correct topstitch and placket,,,,,
(10) Hand feel observed slightly harsh,,,,,,,,,,,,,,Improve hand feel,,,,,
"(11) Plaid found uneven at back yoke, placket and collar",,,,,,,,,,,,,,Correct plaid alignment,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
I AGREE WITH THE ABOVE COMMENTS AND WILL INCORPORATE ALL ABOVE COMMENTS                                                                                                                                                                                                                                                            VENDOR'S SIGNATURE,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
VENDOR'S SIGNATURE,,,,,SENT VIA MAIL,,,,,,,,,,,,,,
