no,size,pom,description,spoken_as,heard,spec,measured,deviation,tol_minus,tol_plus,verdict,confidence,note
13,XS,4.05A,WAISTBAND HEIGHT,Waistband height,1 1/4,1 1/4,1 1/4,ok,-1/8,+1/8,pass,1.00,
14,XS,4.05A,WAISTBAND ELASTIC HEIGHT,Waistband elastic height,1 3/8,1 3/8,1 3/8,ok,-1/8,+1/8,pass,1.00,
15,XS,4.04A,WAIST RELAXED @ TOP EDGE,Waist relaxed at top edge,26 3/4,26 3/4,26 3/4,ok,-3/4,+3/4,pass,1.00,
16,XS,4.02A,WAIST EXTENDED @ TOP EDGE MINIMUM,Waist extended at top edge minimum,39,39,39,ok,-3/4,+3/4,pass,1.00,
17,XS,4.09B,LOW HIP PLACEMENT FROM TOP WAIST,Low hip placement from top waist,5 1/4,5 1/4,5 1/4,ok,0,0,unjudged,1.00,
18,XS,4.10B,3 POINT LOW HIP,3 point low hip,40 1/2,40 1/2,40 3/4,+1/4,-3/4,+3/4,pass,1.00,
19,XS,4.14A,FRONT RISE STRAIGHT TO TOP WAIST,Front rise straight to top waist,9 3/4,9 3/4,9 1/2,-1/4,-1/4,+1/4,pass,1.00,
20,XS,4.15A,BACK RISE STRAIGHT TO TOP WAIST,Back rise straight to top waist,15,15,14 3/4,-1/4,-1/4,+1/4,pass,1.00,
21,XS,5.08C,SHORT LEG OPENING,Short leg opening,27,27,27,ok,-3/8,+3/8,pass,1.00,
22,XS,5.01A,INSEAM SHORT,Inseam short,2 1/2,2 1/2,2 1/2,ok,-1/4,+1/4,pass,1.00,
23,XS,5.02A,OUTSEAM FROM TOP WAIST,Outseam from top waist,10 5/8,10 5/8,10 3/4,+1/8,-1/4,+1/4,pass,0.95,"Inspector first said okay, then corrected to plus 1/8."
24,XS,7.01A GR,FLY/J-STITCH LENGTH BELOW WAIST SEAM,Fly J-stitch length below waist seam,4 1/4,4 1/4,4 1/4,ok,-1/4,+1/4,pass,1.00,
25,XS,7.01B,FLY /J-STITCH WIDTH,Fly J-stitch width,1 1/8,1 1/8,1 3/16,+1/16,-1/8,+1/8,pass,0.90,Corrected from minus to plus.
