TRIBURG / / /,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
SIZE SET INSPECTION REPORT,,,,,,,,,,,,,,,,,,,
STYLE NO:,2356,,,,DIVISION:,,,,,,DATE :,,,,,,,,
,,,,,,,,,,,,,,,,,,,
DESCRIPTION:,oversized flannel shirt piping,,,,,,,,,,COLOUR:,,,,,,,,
,,,,,,,,,,,,,,,,,,,
ACCESSORIES,MIS,ALT,ACT,PLA,ACCESSORIES,MIS,ALT,ACT,PLA,ACCESSORIES,MIS,ALT,ACT,PLA,,MIS,ALT,ACT,PLA
MAIN LABEL,,,X,,POLYBAG,,,X,,BUTTON,,,X,,PRINT,,,,
BOOK FOLD,,,,,POLY BAG STICKER,,,,,HOOK EYE/BAR,,,,,LAYOUT,,,,
FCTY CODE,,,,,LOT STICKER,,,,,LACE,,,,,EMB  THREAD COLOR,,,,
HANG TAG,,,,,PRE PACK STICKER,,,,,BUCKLE,,,,,PLACEMENT,,,,
HANGER,,,,,CARTON MARKINGS,,,,,SNAP,,,,,BEADS/SEQUINS,,,,
WASHCARE,,,X,,PLACEMENT UPC/P.PACK,,,,,THREAD,,,X,,BEADS/SEQUINS LAYOUT,,,,
INTERLINING,,,,,FOLDING,,,X,,LINING,,,,,AFTER TREATMENT,,,,
,,,,,SPARE BUTTON POSITION,,,,,ZIPPER,,,,,PH,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
PATTERN CHECK LIST,,,,,,,,,,,MEASUREMENT (SPEC ATTACHED),,,,,,,,
GRAIN LINE,,,,:,OK,,,,,,RESULT             :  (         ) PASS     (      ) FAIL CONDITIONALLY  ->  PASS,,,,,,,,
NOTCHES,,,,:,OK,,,,,,GRADED NEST :   (      ) OK           (      ) NOT OK  ->  OK,,,,,,,,
GRADED NEST,,,,:,OK,,,,,,CORRECTIONS TO BE DONE :-,,,,,,,,
CORRECTIONS  IMPLEMNTED,,,,:,Yes,,,,,,Upgrade side seam and armhole overlock to match approved PP sample,,,,,,,,
YY/ MINI MARKER,,,,:,Yes,,,,,,correct pocket shape,,,,,,,,
,,,,,,,,,,,loosen pocket cord,,,,,,,,
PLANNED SIZE SET SUBMISSION DATE:,,,,,11. 8,,,,,,correct collar point and tie-space shape,,,,,,,,
ACTUAL SUBMISSION DATE,,,,:,24,,,,,,correct locker loop measurement,,,,,,,,
PCD,,,,:,25,,,,,,remove skip stitches,,,,,,,,
CUT QUANTITY,,,,:,7 piece,,,,,,improve stripe and plaid matching correct uneven topstitch and placket waviness,,,,,,,,
SIZE SET INSPECTION RESULT,,,,:,Pass with comment,,,,,,CUTTING CHECK                                 :      (      ) OK         (     ) NOT OK  ->  OK,,,,,,,,
,,,,,,,,,,,SEAM ALLOWANCE                           :     (       ) OK         (     ) NOT OK  ->  OK,,,,,,,,
,,,,,,,,,,,CORRECTIONS IMPLEMENTED :     (     ) OK         (      ) NOT OK  ->  OK,,,,,,,,
SHRINKAGE,,,,:,L = 1.5%  W = +3%,,,,,,,,,,,,,,
DETAILED COMMENTS,,,,,,,,,,,,,,ACTION TO BE TAKEN BY VENDOR,,,,,
,,,,,,,,,,,,,,,,,,,
(1) Approved PP sample has 6-thread overlock; updated tech pack has 5-thread overlock,,,,,,,,,,,,,,Upgrade side seam and armhole overlock to match approved PP sample,,,,,
(2) Pocket shape found poor,,,,,,,,,,,,,,Correct pocket shape,,,,,
(3) Cord found tight at pocket,,,,,,,,,,,,,,Loosen pocket cord,,,,,
(4) Poor collar point shape,,,,,,,,,,,,,,Correct collar point shape,,,,,
(5) Poor tie-space shape with overlap,,,,,,,,,,,,,,Correct tie-space shape and overlap,,,,,
(6) Locker loop measurement found minus,,,,,,,,,,,,,,Bring locker loop measurement back to spec,,,,,
"(7) Skip stitch visible at cuff, placket slit and collar",,,,,,,,,,,,,,Remove skip stitches,,,,,
(8) Body stripe found wavy while pocket attached,,,,,,,,,,,,,,Keep body stripe straight during pocket attachment,,,,,
(9) Topstitch found uneven and placket bumping/wavy,,,,,,,,,,,,,,Correct topstitch and placket waviness,,,,,
(10) Hand feel observed slightly harsh,,,,,,,,,,,,,,Improve hand feel,,,,,
"(11) Plaid found uneven at right back yoke, placket and collar",,,,,,,,,,,,,,Correct plaid matching,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
I AGREE WITH THE ABOVE COMMENTS AND WILL INCORPORATE ALL ABOVE COMMENTS                                                                                                                                                                                                                                                            VENDOR'S SIGNATURE,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
VENDOR'S SIGNATURE,,,,,SENT VIA MAIL,,,,,,,,,,,,,,
