no,size,pom,description,spoken_as,heard,spec,measured,deviation,tol_minus,tol_plus,verdict,confidence,note
13,XS,4.05A,WAISTBAND HEIGHT,Waistband height,1 1/4,1 1/4,1 1/4,ok,-1/8,+1/8,pass,0.99,
14,XS,4.05A,WAISTBAND ELASTIC HEIGHT,Waistband elastic height,1 3/8,1 3/8,1 3/8,ok,-1/8,+1/8,pass,0.99,
15,XS,4.04A,WAIST RELAXED @ TOP EDGE,Waist relaxed at top edge,26 3/4,26 3/4,26 3/4,ok,-3/4,+3/4,pass,0.99,
16,XS,4.02A,WAIST EXTENDED @ TOP EDGE MINIMUM,Waist extended at top edge minimum,39,39,39,ok,-3/4,+3/4,pass,0.99,
17,XS,4.09B,LOW HIP PLACEMENT FROM TOP WAIST,Low hip placement from top waist,5 1/4,5 1/4,5 1/4,ok,0,0,unjudged,0.99,
18,XS,4.10B,3 POINT LOW HIP,3 point low hip,40 1/2,40 1/2,40 3/4,+1/4,-3/4,+3/4,pass,0.99,
19,XS,4.14A,FRONT RISE STRAIGHT TO TOP WAIST,Front rise straight to top waist,9 3/4,9 3/4,9 1/2,-1/4,-1/4,+1/4,pass,0.99,
20,XS,4.15A,BACK RISE STRAIGHT TO TOP WAIST,Back rise straight to top waist,15,15,14 3/4,-1/4,-1/4,+1/4,pass,0.99,
21,XS,5.08C,SHORT LEG OPENING,Short leg opening,27,27,27,ok,-3/8,+3/8,pass,0.99,
22,XS,5.01A,INSEAM SHORT,Inseam short,2 1/2,2 1/2,2 1/2,ok,-1/4,+1/4,pass,0.99,
23,XS,5.02A,OUTSEAM FROM TOP WAIST,Outseam from top waist,10 5/8,10 5/8,10 3/4,+1/8,-1/4,+1/4,pass,0.96,"Initially called okay, then corrected to plus 1/8"
24,XS,7.01A GR,FLY/J-STITCH LENGTH BELOW WAIST SEAM,Fly J-stitch length below waist seam,4 1/4,4 1/4,4 1/4,ok,-1/4,+1/4,pass,0.99,
25,XS,7.01B,FLY /J-STITCH WIDTH,Fly J-stitch width,1 1/8,1 1/8,1 3/16,+1/16,-1/8,+1/8,pass,0.95,"Initially said minus, then corrected to plus 1/16"
26,XS,4.27A,HEM HEIGHT,Hem height,1/2,1/2,1/2,ok,-1/8,+1/8,pass,0.99,
27,XS,*,"FRT LEG DEPTH 3"" FRM CF (TOP EDGE) RELAXED",Front leg depth 3 inch from center front top edge relaxed,10 7/8,10 7/8,10 7/8,ok,-1/8,+1/8,pass,0.99,
28,XS,*,"BK LEG DEPTH 3"" FRM CB (TOP EDGE) RELAXED",Back leg depth 3 inch from center back top edge relaxed,12 1/8,12 1/8,12,-1/8,-1/8,+1/8,pass,0.99,
29,XS,*,"SADDLE WIDTH 2"" UP FRM CROTCH - REF PT FOR NY TECH",Saddle width 2 inch up from crotch reference point,8,8,8,ok,-1/8,+1/8,pass,0.99,
30,XS,*,BUTTON SPACE ON FLY FRONT,Button space on fly front,1 3/4,1 3/4,1 3/4,ok,-1/8,+1/8,pass,0.99,
31,XS,7.04B,BUTTON POSITION FROM WAIST STITCH,Button position from waist stitch,1 1/4,1 1/4,1 1/8,-1/8,-1/8,+1/8,pass,0.99,
32,XS,6.05B,ON SEAM POCKET HEM HEIGHT,On-seam pocket hem height,1/4,1/4,1/4,ok,-1/8,+1/8,pass,0.99,
33,XS,6.54A,POCKET POSITION FROM BELOW WAIST STITCH,Pocket position from below waist stitch,1,1,1,ok,-1/8,+1/8,pass,0.99,
34,XS,6.14A GR,POCKET OPENING LENGTH,Pocket opening length,5 1/2,5 1/2,5 1/2,ok,-1/8,+1/8,pass,0.99,
35,XS,6.17A GR,POCKET BAG LENGTH,Pocket bag length,8 5/8,8 5/8,8 3/8,-1/4,-1/4,+1/4,pass,0.99,
36,XS,6.17B GR,POCKET BAG WIDTH,Pocket bag width,6 1/8,6 1/8,6 1/8,ok,-1/4,+1/4,pass,0.99,
37,S,4.05A,WAISTBAND HEIGHT,Waistband height,1 1/4,1 1/4,1 1/4,ok,-1/8,+1/8,pass,0.99,
38,S,4.05A,WAISTBAND ELASTIC HEIGHT,Waistband elastic height,1 3/8,1 3/8,1 3/8,ok,-1/8,+1/8,pass,0.99,
39,S,4.04A,WAIST RELAXED @ TOP EDGE,Waist relaxed at top edge,28 3/4,28 3/4,28 1/4,-1/2,-3/4,+3/4,pass,0.99,
40,S,4.02A,WAIST EXTENDED @ TOP EDGE MINIMUM,Waist extended at top edge minimum,41,41,41,ok,-3/4,+3/4,pass,0.99,
41,S,4.09B,LOW HIP PLACEMENT FROM TOP WAIST,Low hip placement from top waist,5 5/8,5 5/8,5 5/8,ok,0,0,unjudged,0.99,
42,S,4.10B,3 POINT LOW HIP,3 point low hip,42 1/2,42 1/2,42 1/2,ok,-3/4,+3/4,pass,0.99,
43,S,4.14A,FRONT RISE STRAIGHT TO TOP WAIST,Front rise straight to top waist,10 1/4,10 1/4,10,-1/4,-1/4,+1/4,pass,0.96,
44,S,4.15A,BACK RISE STRAIGHT TO TOP WAIST,Back rise straight to top waist,15 1/2,15 1/2,15 1/4,-1/4,-1/4,+1/4,pass,0.99,
45,S,5.08C,SHORT LEG OPENING,Short leg opening,28 1/2,28 1/2,28 1/2,ok,-3/8,+3/8,pass,0.99,
46,S,5.01A,INSEAM SHORT,Inseam short,2 1/2,2 1/2,2 3/8,-1/8,-1/4,+1/4,pass,0.99,
47,S,5.02A,OUTSEAM FROM TOP WAIST,Outseam from top waist,11,11,11 1/4,+1/4,-1/4,+1/4,pass,0.99,
