no,section,size,field,value,deviation,note,confidence,needs_review
1,marker,,YY shell,1.45 meter,,,1.00,
2,marker,,Locker loop consumption,0.003 meter,,,1.00,
3,marker,,Pocket trim consumption,0.01 meter,,,1.00,
4,shrinkage,,Pattern shrinkage length,1 1/2%,,all four colors,1.00,
5,shrinkage,,Pattern shrinkage width,+3%,,all four colors,1.00,
6,construction,,Approved PP sample overlock,6th grade,,side seam and armhole,0.90,
7,construction,,Updated tech pack overlock,5th grade,,differs from approved PP sample,0.90,
8,measurement,,Front length from HPS,26,+1/8,,1.00,
9,measurement,,Back length from HPS,26 1/4,+1/8,,1.00,
10,measurement,,Shoulder slope from HPS,1 7/8,+1/8,,1.00,
11,measurement,,Shoulder seam forward at neck,1/2,,,1.00,
12,measurement,,Shoulder seam forward at armhole,3/4,,,1.00,
13,measurement,,Across shoulder seam to seam,17 3/4,+1/4,,1.00,
14,measurement,,Across front position from HPS,5,,,0.90,
15,measurement,,Across front seam to seam,16 1/4,+1/4,,1.00,
16,measurement,,Across back at yoke seam,17,+1/4,,1.00,
17,measurement,,"Chest 1 inch below armhole, pleat extended",45,+1/2,,1.00,
18,measurement,,Bottom opening straight above side seam,45,±1/8,Deviation spoken as plus/minus 1/8,0.85,
19,measurement,,Front side seam height,4 3/4,+1/8,,1.00,
20,measurement,,Back side seam height,4,+1/8,,1.00,
21,measurement,,"Bottom hem height, self turn",1/4,,,1.00,
22,measurement,,Sleeve length from center back long,32 1/2,-1/4,,1.00,
23,measurement,,Sleeve cap height,5 3/4,+1/4,,1.00,
24,measurement,,Armhole straight,8 7/8,,,1.00,
25,measurement,,Muscle 1 inch from underarm,15 1/4,,,1.00,
26,measurement,,Elbow position from cuff,13 1/4,,The word 'ten' was also spoken before the confirmed value,0.75,yes
27,measurement,,"Sleeve opening, L oblique S at H",8 1/2,,,0.90,
28,measurement,,Sleeve cuff height,2 1/2,,,1.00,
29,measurement,,Sleeve placket opening length,4 1/2,-1/8,,1.00,
30,measurement,,Placket width,3/4,,,1.00,
31,measurement,,Front neck drop from HPS,3,+1,Deviation was spoken as plus one,0.80,yes
32,measurement,,Back neck drop from HPS to center,3/4,1/8,"Initially called okay, then reread with 1/8 deviation; direction not stated",0.60,yes
33,measurement,,Back neck width seam to seam,5 3/4,1/8,"Initially called -1/8, then reread as 1/8 without direction",0.60,yes
34,measurement,,Neck band height at center,1 1/8,,,0.90,
35,measurement,,Collar point,2 1/4,-1/8,Wording was partially garbled,0.70,yes
36,measurement,,Collar length at outer edge,15 3/4,-1/4,,1.00,
37,measurement,,Locker loop width,3/8,-1/8,,1.00,
38,measurement,,Locker loop grade,2,,,0.90,
39,measurement,,Collar height at center back,2,,,1.00,
40,measurement,,Center front placket,1,,,1.00,
41,measurement,,First button position from neck,3,,No deviation verdict stated,0.95,
42,measurement,,Button position from bottom edge,1/4,,,1.00,
43,measurement,,Center back yoke box pleat width,1 1/2,,No deviation verdict stated,1.00,
44,measurement,,Chest pocket length at center,5 1/4,,No deviation verdict stated,1.00,
45,measurement,,Pocket position,8 3/4,,Reference point was unclear,0.75,yes
46,measurement,,Pocket position from center front,1 1/8,,No deviation verdict stated,0.90,
47,comment,,Pocket shape,,,found poor,1.00,
48,comment,,Pocket cord,,,found tight,1.00,
49,comment,,Collar point shape,,,poor shape,1.00,
50,comment,,Tie-space shape at overlapping area,,,poor shape,0.75,yes
51,comment,,Space stitch,,,"visible at cuff, placket slit and collar",1.00,
52,comment,,Body stripe,,,wavy while pocket attached,1.00,
53,comment,,Topstitch and placket,,,topstitch uneven; placket bumping and wavy,1.00,
54,comment,,Hand feel,,,slightly harsh,1.00,
55,comment,,Plaid alignment,,,"uneven at right back yoke, placket and collar",1.00,
