no,section,size,field,value,deviation,verdict,note,confidence,needs_review
1,bom,,BUTTON,actual,,okay,,1.00,
2,bom,,THREAD,actual,,okay,,1.00,
3,marker,,YY shell consumption,1 9/20,,not stated,meter; spoken as 1.45 meter,1.00,
4,marker,,Locker loop consumption,3/1000,,not stated,meter; first transcription said blocker loop,0.88,
5,marker,,Pocket trim consumption,1/100,,not stated,meter,1.00,
6,shrinkage,,Pattern shrinkage length,1 1/2%,,not stated,all four colors,1.00,
7,shrinkage,,Pattern shrinkage width,+3%,,not stated,all four colors,1.00,
8,measurement,,Front length from HPS,26,+1/8,deviation,,1.00,
9,measurement,,Back length from HPS,26 1/4,+1/8,deviation,,1.00,
10,measurement,,Shoulder slope from HPS,1 7/8,+1/8,deviation,,1.00,
11,measurement,,Shoulder seam forward at neck,1/2,,okay,,1.00,
12,measurement,,Shoulder seam forward at armhole,3/4,,okay,,1.00,
13,measurement,,Across shoulder seam to seam,17 3/4,+1/4,deviation,,1.00,
14,measurement,,Across front position from HPS,5,,not stated,,1.00,
15,measurement,,Across front seam to seam,16 1/4,+1/4,deviation,,1.00,
16,measurement,,Across back at yoke seam,17,+1/4,deviation,,1.00,
17,measurement,,"Chest 1 inch below armhole, pleat extended",45,+1/2,deviation,,1.00,
18,measurement,,Bottom opening straight above side seam,45,±1/8,deviation,Direction was spoken as plus/minus 1/8.,0.58,yes
19,measurement,,Front side seam height,4 3/4,+1/8,deviation,,1.00,
20,measurement,,Back side seam height,4,+1/8,deviation,,1.00,
21,measurement,,"Bottom hem height, self turn",1/4,,okay,,1.00,
22,measurement,,Sleeve length from center back long,32 1/2,-1/4,deviation,,1.00,
23,measurement,,Sleeve cap height,5 3/4,+1/4,deviation,,1.00,
24,measurement,,Armhole straight,8 7/8,,okay,,1.00,
25,measurement,,Muscles 1 inch from underarm,15 1/4,,okay,,1.00,
26,measurement,,Elbow,13 1/4,,okay,Position from cuff stated as 10.,0.94,
27,measurement,,"Sleeve opening, L oblique S at H",8 1/2,,okay,,0.86,
28,measurement,,Sleeve cuff height,2 1/2,,okay,,1.00,
29,measurement,,Sleeve placket opening length,4 1/2,-1/8,deviation,,1.00,
30,measurement,,Placket width,3/4,,okay,,1.00,
31,measurement,,Front neck drop from HPS,3,+1,deviation,Both transcriptions recorded deviation as plus one.,0.68,yes
32,measurement,,Back neck drop from HPS to C,3/4,+1/8,deviation,Earlier reading was passed as okay; later reading stated 1/8 deviation.,0.55,yes
33,measurement,,Back neck width seam to seam,5 3/4,+1/8,deviation,Earlier reading stated -1/8; later reading stated 1/8 without a clear sign.,0.48,yes
34,measurement,,Neck band height at center,1 1/8,,okay,,1.00,
35,measurement,,Collar point,2 1/4,-1/8,deviation,Word order was garbled but both transcriptions gave 2 1/4 and minus 1/8.,0.64,yes
36,measurement,,Collar length at outer edge,15 3/4,-1/4,deviation,,1.00,
37,measurement,,Locker loop width,3/8,-1/8,deviation,,1.00,
38,measurement,,Locker loop grade,2,,okay,,1.00,
39,measurement,,Center front placket width,1,,okay,,1.00,
40,measurement,,"Button position from neck, first button",3,-1/8,deviation,Second transcription dropped the amount after 'minus'; first stated minus 1/8.,0.90,
41,measurement,,Button position from bottom edge,1/4,,okay,,1.00,
42,measurement,,Center back yoke box pleat width,1 1/2,,not stated,,1.00,
43,measurement,,Chest pocket length at center,5 1/4,,not stated,,1.00,
44,measurement,,Pocket position from HPS,8 3/4,,not stated,Second transcription rendered the first digit ambiguously as H.,0.67,yes
45,measurement,,Pocket position from front,1 1/8,,not stated,Field wording was partially dropped in both transcriptions.,0.62,yes
46,construction,,Approved PP sample overlock,,,not stated,"6th grade overlock; upgrade side seam and armhole as updated tech pack, 5th grade overlock.",0.72,yes
47,construction,,Pocket shape,,,not stated,Found poor.,1.00,
48,construction,,Cord at pocket,,,not stated,Found tight.,1.00,
49,construction,,Collar point shape,,,not stated,Poor shape.,1.00,
50,construction,,Tie-space shape,,,not stated,Poor shape at overlapping area.,0.87,
51,construction,,Space stitch,,,not stated,"Visible at cuff, placket slit and collar.",1.00,
52,construction,,Body stripe at pocket,,,not stated,Found wavy while pocket attached.,1.00,
53,construction,,Topstitch and placket,,,not stated,Topstitch uneven; placket bumping and wavy.,1.00,
54,construction,,Hand feel,,,not stated,Observed slightly harsh.,1.00,
55,construction,,"Placket at right back yoke, placket and collar",,,not stated,Found uneven.,0.90,
