TRIBURG / / /,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
SIZE SET INSPECTION REPORT,,,,,,,,,,,,,,,,,,,
STYLE NO:,2356,,,,DIVISION:,,,,,,DATE :,,,,,,,,
,,,,,,,,,,,,,,,,,,,
DESCRIPTION:,oversized flannel shirt piping,,,,,,,,,,COLOUR:,,,,,,,,
,,,,,,,,,,,,,,,,,,,
ACCESSORIES,MIS,ALT,ACT,PLA,ACCESSORIES,MIS,ALT,ACT,PLA,ACCESSORIES,MIS,ALT,ACT,PLA,,MIS,ALT,ACT,PLA
MAIN LABEL,,,X,,POLYBAG,,,X,,BUTTON,,,X,,PRINT,,,,
BOOK FOLD,,,,,POLY BAG STICKER,,,,,HOOK EYE/BAR,,,,,LAYOUT,,,,
FCTY CODE,,,,,LOT STICKER,,,,,LACE,,,,,EMB  THREAD COLOR,,,,
HANG TAG,,,,,PRE PACK STICKER,,,,,BUCKLE,,,,,PLACEMENT,,,,
HANGER,,,,,CARTON MARKINGS,,,,,SNAP,,,,,BEADS/SEQUINS,,,,
WASHCARE,,,X,,PLACEMENT UPC/P.PACK,,,,,THREAD,,,X,,BEADS/SEQUINS LAYOUT,,,,
INTERLINING,,,,,FOLDING,,,X,,LINING,,,,,AFTER TREATMENT,,,,
,,,,,SPARE BUTTON POSITION,,,,,ZIPPER,,,,,PH,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
PATTERN CHECK LIST,,,,,,,,,,,MEASUREMENT (SPEC ATTACHED),,,,,,,,
GRAIN LINE,,,,:,OK,,,,,,RESULT             :  (         ) PASS     (      ) FAIL CONDITIONALLY  ->  PASS,,,,,,,,
NOTCHES,,,,:,OK,,,,,,GRADED NEST :   (      ) OK           (      ) NOT OK  ->  OK,,,,,,,,
GRADED NEST,,,,:,OK,,,,,,CORRECTIONS TO BE DONE :-,,,,,,,,
CORRECTIONS  IMPLEMNTED,,,,:,YES,,,,,,Match overlock construction with approved PP sample,,,,,,,,
YY/ MINI MARKER,,,,:,YES,,,,,,correct pocket shape,,,,,,,,
,,,,,,,,,,,loosen pocket cord,,,,,,,,
PLANNED SIZE SET SUBMISSION DATE:,,,,,11. 8,,,,,,correct collar point and tie-space shape,,,,,,,,
ACTUAL SUBMISSION DATE,,,,:,24,,,,,,eliminate skip stitches,,,,,,,,
PCD,,,,:,25,,,,,,correct stripe alignment and uneven topstitching,,,,,,,,
CUT QUANTITY,,,,:,7 piece,,,,,,improve hand feel,,,,,,,,
SIZE SET INSPECTION RESULT,,,,:,Pass with comment,,,,,,CUTTING CHECK                                 :      (      ) OK         (     ) NOT OK  ->  OK,,,,,,,,
,,,,,,,,,,,SEAM ALLOWANCE                           :     (       ) OK         (     ) NOT OK  ->  OK,,,,,,,,
,,,,,,,,,,,CORRECTIONS IMPLEMENTED :     (     ) OK         (      ) NOT OK  ->  OK,,,,,,,,
SHRINKAGE,,,,:,L = 1.5%  W = +3%,,,,,,,,,,,,,,
DETAILED COMMENTS,,,,,,,,,,,,,,ACTION TO BE TAKEN BY VENDOR,,,,,
,,,,,,,,,,,,,,,,,,,
(1) Approved PP sample has 6-thread overlock; updated tech pack has 5-thread overlock,,,,,,,,,,,,,,Match side seam and armhole overlock with approved PP sample,,,,,
(2) Pocket shape found poor,,,,,,,,,,,,,,Correct pocket shape to spec,,,,,
(3) Cord found tight at pocket,,,,,,,,,,,,,,Loosen pocket cord,,,,,
(4) Poor collar point shape,,,,,,,,,,,,,,Correct collar point shape,,,,,
(5) Poor tie-space shape and overlapping,,,,,,,,,,,,,,Correct tie-space shape and overlap,,,,,
(6) Locker loop measurement found minus,,,,,,,,,,,,,,Bring locker loop measurement to spec,,,,,
"(7) Skip stitch visible at cuff, placket slit and collar",,,,,,,,,,,,,,Eliminate skip stitches,,,,,
(8) Body stripe found wavy while pocket attached,,,,,,,,,,,,,,Keep body stripe straight during pocket attachment,,,,,
(9) Topstitch found uneven and placket bumping/wavy,,,,,,,,,,,,,,Make topstitch even and correct placket waviness,,,,,
(10) Hand feel observed slightly harsh,,,,,,,,,,,,,,Improve hand feel,,,,,
"(11) Placket found uneven at back yoke, placket and collar",,,,,,,,,,,,,,"Correct alignment at back yoke, placket and collar",,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
I AGREE WITH THE ABOVE COMMENTS AND WILL INCORPORATE ALL ABOVE COMMENTS                                                                                                                                                                                                                                                            VENDOR'S SIGNATURE,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
VENDOR'S SIGNATURE,,,,,SENT VIA MAIL,,,,,,,,,,,,,,
