no,size,pom,description,spoken_as,heard,spec,measured,deviation,tol_minus,tol_plus,verdict,confidence,note
1,XS,4.05A,WAISTBAND HEIGHT,Waistband height,1 1/4,1 1/4,1 1/4,ok,-1/8,+1/8,pass,1.00,
2,XS,4.05A,WAISTBAND ELASTIC HEIGHT,Waistband elastic height,1 3/8,1 3/8,1 3/8,ok,-1/8,+1/8,pass,1.00,
3,XS,4.04A,WAIST RELAXED @ TOP EDGE,Waist relaxed at top,26 3/4,26 3/4,26 3/4,ok,-3/4,+3/4,pass,1.00,
4,XS,4.02A,WAIST EXTENDED @ TOP EDGE MINIMUM,Waist extended at top edge minimum,39,39,39,ok,-3/4,+3/4,pass,1.00,
5,XS,4.09B,LOW HIP PLACEMENT FROM TOP WAIST,Low hip placement from top,5 1/4,5 1/4,5 1/4,ok,0,0,unjudged,1.00,
6,XS,4.10B,3 POINT LOW HIP,Three-point low hip,40 1/2,40 1/2,40 3/4,+1/4,-3/4,+3/4,pass,1.00,
7,XS,4.14A,FRONT RISE STRAIGHT TO TOP WAIST,Front rise straight to top waist,9 3/4,9 3/4,9 3/4,ok,-1/4,+1/4,pass,0.78,Following deviation was unclear.
8,XS,4.15A,BACK RISE STRAIGHT TO TOP WAIST,Back rise straight to top waist,15,15,15,ok,-1/4,+1/4,pass,0.78,Following deviation was unclear.
9,XS,5.08C,SHORT LEG OPENING,Short leg opening,27,27,27,ok,-3/8,+3/8,pass,1.00,
10,XS,5.01A,INSEAM SHORT,Inseam short,2 1/2,2 1/2,2 1/2,ok,-1/4,+1/4,pass,1.00,
11,XS,5.02A,OUTSEAM FROM TOP WAIST,Outseam from top waist,10 5/8,10 5/8,10 3/4,+1/8,-1/4,+1/4,pass,0.95,Deviation corrected to plus 1/8.
12,XS,7.01A GR,FLY/J-STITCH LENGTH BELOW WAIST SEAM,Fly J-stitch length below waist seam,4 1/4,4 1/4,4 1/4,ok,-1/4,+1/4,pass,1.00,
13,XS,7.01B,FLY /J-STITCH WIDTH,Fly J-stitch width,1 1/8,1 1/8,1 3/16,+1/16,-1/8,+1/8,pass,0.95,Speaker corrected the deviation from minus to plus.
14,XS,4.27A,HEM HEIGHT,Hem height,1/2,1/2,1/2,ok,-1/8,+1/8,pass,1.00,
15,XS,*,"FRT LEG DEPTH 3"" FRM CF (TOP EDGE) RELAXED",Front leg depth from center front top edge relaxed,10 7/8,10 7/8,10 7/8,ok,-1/8,+1/8,pass,1.00,
16,XS,*,"BK LEG DEPTH 3"" FRM CB (TOP EDGE) RELAXED",Back leg depth from center back top edge relaxed,12 1/8,12 1/8,12,-1/8,-1/8,+1/8,pass,0.75,Spoken as down by eight.
17,XS,*,"SADDLE WIDTH 2"" UP FRM CROTCH - REF PT FOR NY TECH",Seat width 3 inches up from crotch reference point,8,8,8,ok,-1/8,+1/8,pass,0.92,
18,XS,*,BUTTON SPACE ON FLY FRONT,Button space on fly front,1 3/4,1 3/4,1 3/4,ok,-1/8,+1/8,pass,1.00,
19,XS,7.04B,BUTTON POSITION FROM WAIST STITCH,Button position from waist seam,1 1/4,1 1/4,1 1/8,-1/8,-1/8,+1/8,pass,1.00,
20,XS,6.05B,ON SEAM POCKET HEM HEIGHT,On-seam pocket hem height,1/4,1/4,1/4,ok,-1/8,+1/8,pass,0.85,
